"weight","queue size","id","waiting time","duration","total request","priority","completed jobs"
4.069658189293653E-8,326,361,1.0,21.323665196713193,177,2,3
5.7831925627926306E-8,335,368,1.0,16.119579807733547,28,2,51
1.4189447094704083E-8,344,344,1.4000001,37.02311696316893,15,1,74
2.96805024997225E-8,353,390,1.0,76.99523945232649,25,2,24
2.1042489684688331E-7,362,399,1.0,25.3791462301507,129,3,3
1.694634761061603E-6,371,410,1.0,44.63914432921438,14,2,8
5.993685794969848E-8,380,402,1.2,11.698268822962566,111,3,19
3.020477480726784E-7,389,429,1.0,83.67799275206401,20,3,15
3.321831574494419E-5,398,437,1.0,49.33288740183885,3,3,22
3.440073543203453E-6,406,439,1.0,8.041041606227495,5,2,97
1.2013235182790184E-7,415,450,1.2,4.728607818101913,266,3,7
2.793524267169479E-8,424,447,1.2,75.73160839039275,218,3,2
1.3684688642033664E-8,433,274,3.0000005,15.553915655653718,788,2,2
5.434372605546959E-8,442,491,1.0,67.94531510048506,13,3,92
3.6620647399751794E-5,451,501,1.0,45.047551378104025,5,3,11
1.3933067334592594E-8,460,209,4.0000005,79.70121304629996,92,3,34
